## Hello World             
# label: %title%<br><i style="color:gray;">%text%</i>             
# style: html=1;shape=rectangle;rounded=1;fillColor=%fill%;strokeColor=%fill%             
# namespace: csvimport-             
# connect: {"from":"refs", "to":"id", "invert":true, "style":"curved=0;endArrow=blockThin;endFill=1;"}             
# width: auto             
# height: auto             
# padding: 10             
# ignore: id,fill,refs             
# nodespacing: 10             
# levelspacing: 30             
# edgespacing: 40             
# layout: horizontalflow             
## CSV starts under this line             
id,title,text,fill,refs             
 
1a-2,InputPlaceholder,,#dae8fc,""
1a-1,InputPlaceholder,,#dae8fc,""
1a0,mul_fa2a,,#dae8fc,"1a-1,1a-2"
1a3,sub_fa2a,,#dae8fc,"1a-1,1a0"
1a4,sub_fa2a,,#dae8fc,"1a-1,1a3"
1a8,add_ff2f,,#dae8fc,"1a-1,1a-1"
1a17,add_fa2a,,#dae8fc,"1a3,1a8"
1a18,sub_aa2a,,#dae8fc,"1a17,1a4"
1a25,Output,,#dae8fc,"1a18"
1END,"Fitness: (0.33086980331719174,1.4981275461158245)",,#ffe6cc,"1a25"
2a-2,InputPlaceholder,,#dae8fc,""
2a-1,InputPlaceholder,,#dae8fc,""
2a0,mul_fa2a,,#dae8fc,"2a-1,2a-2"
2a1,mul_fa2a,,#dae8fc,"2a-1,2a0"
2a3,sub_fa2a,,#dae8fc,"2a-1,2a0"
2a8,add_ff2f,,#dae8fc,"2a-1,2a-1"
2a17,add_fa2a,,#dae8fc,"2a3,2a8"
2a18,sub_aa2a,,#dae8fc,"2a17,2a1"
2a25,Output,,#dae8fc,"2a18"
2END,"Fitness: (0.33086980331719174,1.4981275461158245)",,#ffe6cc,"2a25"
3a-2,InputPlaceholder,,#dae8fc,""
3a-1,InputPlaceholder,,#dae8fc,""
3a1,mul_fa2a,,#dae8fc,"3a-1,3a-2"
3a6,sub_fa2a,,#dae8fc,"3a-1,3a-2"
3a8,add_ff2f,,#dae8fc,"3a-1,3a-1"
3a10,mul_ff2f,,#dae8fc,"3a-1,3a8"
3a12,sub_aa2a,,#dae8fc,"3a1,3a1"
3a13,mul_fa2a,,#dae8fc,"3a10,3a6"
3a17,add_fa2a,,#dae8fc,"3a13,3a10"
3a18,sub_aa2a,,#dae8fc,"3a17,3a12"
3a25,Output,,#dae8fc,"3a18"
3END,"Fitness: (0.2341440897707565,1.1714694158986287)",,#ffe6cc,"3a25"
4a-2,InputPlaceholder,,#dae8fc,""
4a-1,InputPlaceholder,,#dae8fc,""
4a0,mul_fa2a,,#dae8fc,"4a-1,4a-2"
4a2,sub_ff2f,,#dae8fc,"4a-1,4a-1"
4a3,sub_fa2a,,#dae8fc,"4a-1,4a0"
4a4,sub_aa2a,,#dae8fc,"4a3,4a3"
4a8,add_ff2f,,#dae8fc,"4a-1,4a2"
4a17,add_fa2a,,#dae8fc,"4a3,4a8"
4a18,sub_aa2a,,#dae8fc,"4a17,4a4"
4a25,Output,,#dae8fc,"4a18"
4END,"Fitness: (0.37886365965454327,2.1899358418921837)",,#ffe6cc,"4a25"
5a-2,InputPlaceholder,,#dae8fc,""
5a-1,InputPlaceholder,,#dae8fc,""
5a2,sub_ff2f,,#dae8fc,"5a-1,5a-1"
5a3,sub_fa2a,,#dae8fc,"5a2,5a-2"
5a4,sub_aa2a,,#dae8fc,"5a3,5a3"
5a8,add_ff2f,,#dae8fc,"5a-1,5a-1"
5a17,add_fa2a,,#dae8fc,"5a3,5a8"
5a18,sub_aa2a,,#dae8fc,"5a17,5a4"
5a25,Output,,#dae8fc,"5a18"
5END,"Fitness: (0.37886365965454327,2.1899358418921837)",,#ffe6cc,"5a25"
6a-2,InputPlaceholder,,#dae8fc,""
6a-1,InputPlaceholder,,#dae8fc,""
6a0,mul_fa2a,,#dae8fc,"6a-1,6a-2"
6a3,sub_fa2a,,#dae8fc,"6a-1,6a0"
6a4,sub_aa2a,,#dae8fc,"6a3,6a3"
6a8,add_ff2f,,#dae8fc,"6a-1,6a-1"
6a17,add_fa2a,,#dae8fc,"6a3,6a8"
6a18,sub_aa2a,,#dae8fc,"6a17,6a4"
6a25,Output,,#dae8fc,"6a18"
6END,"Fitness: (0.19171612908757307,1.1899358418921842)",,#ffe6cc,"6a25"
7a-2,InputPlaceholder,,#dae8fc,""
7a-1,InputPlaceholder,,#dae8fc,""
7a0,mul_fa2a,,#dae8fc,"7a-1,7a-2"
7a3,mul_fa2a,,#dae8fc,"7a-1,7a0"
7a4,mul_aa2a,,#dae8fc,"7a3,7a3"
7a8,add_ff2f,,#dae8fc,"7a-1,7a-1"
7a10,mul_ff2f,,#dae8fc,"7a-1,7a8"
7a17,add_fa2a,,#dae8fc,"7a3,7a10"
7a18,sub_aa2a,,#dae8fc,"7a17,7a4"
7a25,Output,,#dae8fc,"7a18"
7END,"Fitness: (0.23277696473899,1.7463415048549886)",,#ffe6cc,"7a25"
8a-2,InputPlaceholder,,#dae8fc,""
8a-1,InputPlaceholder,,#dae8fc,""
8a0,mul_fa2a,,#dae8fc,"8a-1,8a-2"
8a1,mul_fa2a,,#dae8fc,"8a-1,8a0"
8a3,sub_fa2a,,#dae8fc,"8a-1,8a1"
8a4,sub_aa2a,,#dae8fc,"8a3,8a3"
8a8,add_ff2f,,#dae8fc,"8a-1,8a-1"
8a17,add_fa2a,,#dae8fc,"8a3,8a8"
8a18,sub_aa2a,,#dae8fc,"8a17,8a4"
8a25,Output,,#dae8fc,"8a18"
8END,"Fitness: (0.19171612908757307,1.1899358418921842)",,#ffe6cc,"8a25"
